Area1,Area2,Area3,Area4,Area5,Area6,Climb,Climb_Type,Grade,Pitches,Commitment,Route_type,Height,Quality,Danger,FA,Description,Protection
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Arch Drude Boulder,,Flawed Genius,boulder,5,,,,15,2,0,,Spooky topout but good climbing down low,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Arch Drude Boulder,,Arch Drude (Left Start),boulder,5,,,,18,3,1,,"Sweet line.  Tough at the start, mellow finish minus the slot move",
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Arch Drude Boulder,,Arch Drude,boulder,5,,,,18,3,1,,Tougher than the left.  Onishgted the boulder,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Poltergeist,boulder,7,,,,25,3,0,,Cool roof-ish moves to a knobby mantle.  Dope climb,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Everlasting Soul,boulder,0,,,,25,2,1,,Easy edgy slab,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Tribal Wisdom,boulder,B,,,,25,3,1,,Easy edgy slab,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Jormungand,boulder,0,,,,25,3,1,,Gorgeous feature but untrusting of its solidity.  Probably wont repeat because of suspicion,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Blood Kin,boulder,1,,,,25,4,1,,Fantastic line.  Hard start moves but stellar finish ,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Blood Kin Sit,boulder,4,,,,25,3,1,,Hard stand into an undercling pinch.  Cool extension.  Onsighted the boulder!,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Blood Kin Stone,,Downclimb,boulder,B,,,,25,3,1,,Stellar patina climbing,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Sacrificial Boulder,,The Sloth,boulder,9,,,,13,0,0,,,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Sacrificial Boulder,,Unnamed,boulder,B,,,,13,1,0,,Sit start?,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),Sacrificial Boulder,,Trollkind,boulder,2,,,,13,3,-1,,Silly fun mantle.  Not technically on the same boulder,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),The Skye Stone,,Through the Window,boulder,8,,,,15,3,0,,Hard but good movement down low to a silly finish through a hole.  What more can you ask for?!,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),The Skye Stone,,Skye Dance,boulder,6,,,,15,2,0,,Not honestly that impressed.  Good line but poor feet.,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),The Thunder Wall,,Denton's Remorse,boulder,10,,,,12,0,0,,Damn close but wasn't resting as needed and had climbed a lot earlier,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),The Thunder Wall,,Denton's Diversion,boulder,7,,,,12,0,0,,Essentially climbed it but didn't top,
California,Bishop,Bishop Outlying,Druid Stones (Waganobee),The Thunder Wall,,Kredulf,boulder,5,,,,12,0,0,,,
California,Bishop,Bishop Outlying,Tungsten Hills Circuit,Phathead Boulder,,Phathead,boulder,3,,,,15,0,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Bachar Boulder,,Bachar Problem Right,boulder,5,,,,12,3,0,,Precision is key.  Decent line.,
California,Bishop,Buttermilk Country,Buttermilks,Bachar Boulder,,Bachar Problem Left,boulder,5,,,,12,0,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Big Wall Boulder,,Action Potential,boulder,2,,,,30,2,2,,"Good quality rock, eh landing, long reachy move to jug",
California,Bishop,Buttermilk Country,Buttermilks,Big Wall Boulder,,Big Wall,boulder,1,,,,30,3,1,,"Pleasant, crux at top",
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,The Prow,boulder,2,,,,12,3,0.5,,Sweet and simple warmup,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,The Way Down,boulder,0,,,,12,1,0,,Literally only worth going down,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Birthday Left,boulder,0,,,,12,3,0,,"Classic, fun line",
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Birthday Direct,boulder,3,,,,12,4,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Birthday Skyline,boulder,3,,,,12,2,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Unnamed,boulder,0,,,,12,1,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Birthday Mantle,boulder,0,,,,12,2,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Unnamed,boulder,1,,,,15,2,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Bard Route,boulder,6,,,,15,3,0,,An old school line that climbs surprisingly well!  Still sharp but with more traffic might shape up a bit!,
California,Bishop,Buttermilk Country,Buttermilks,Birthday Boulders,,Bard Route Sit,boulder,8,,,,15,0,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Bowling Pin,boulder,4,,,,25,4,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Bowling Pin Sit,boulder,6,,,,25,2,0,,,
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Ten Pin Trial,boulder,8,,,,25,3,0,,"Burly first two moves, then just repeat BPsit",
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Bowling Pin High Traverse,boulder,6,,,,25,3,0,,Cool traverse with 2 cruxy sections.,
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Bowling Pin Arete,boulder,4,,,,25,3,0,,See below.,
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Bowling Pin Arete Sit,boulder,6,,,,25,3,0,,Some very sharp holds but honestly some very good movement on this otherwise unclimbed line.  Gotta get more people on this thing.,
California,Bishop,Buttermilk Country,Buttermilks,Bowling Pin Boulder,,Original Line,boulder,3,,,,15,2,1,,Tough movement on decent holds.  Start location?,
California,Bishop,Buttermilk Country,Buttermilks,Boy and Girl Boulders,,Unnamed,boulder,4,,,,12,2,0,,"Decent movement, sharp holds",
California,Bishop,Buttermilk Country,Buttermilks,Boy and Girl Boulders,,Unnamed,boulder,1,,,,12,2,0,,Slight varation to Patina.,
